Client,Project,Registered time,Billable time,Amount (USD)
Beacon Clearpath LLC,"(final) Beacon Clearpath, LLC ODD 2016",07:37:48,00:00:00,0.00
Campbell & Company,(final) Campbell & Company ODD 2016,73:26:09,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC",(final) Cantor Fitzgerald ODD 2016,19:58:21,10:11:45,0.00
"ASMX Capital, LLC",(final) CapRocq Core REIT (reg a) (private or exempt),41:04:26,00:00:00,0.00
Carter Validus,"(final) Carter Validus REIT Management Company II, LLC ODD 2016",31:03:13,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC",(final) CF Net Lease Portfolio DST 7 (private or exempt) (IC),45:19:16,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC",(final) CF Net Lease Portfolio DST 8 (private or exempt) (IC),15:32:40,00:00:00,0.00
"CNL Financial Group, LLC",(final) CNL Financial Group ODD 2016,73:24:49,00:00:00,0.00
"CNL Financial Group, LLC","(final) CNL Healthcare Properties II, Inc. (REIT) (non-traded) (public)",16:57:33,00:00:00,0.00
Cole Capital or VEREIT Inc.,(final) Cole Capital Advisors ODD 2016,14:58:28,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) Crystal Lake Florida Apartments DST (private or exempt),101:48:50,00:00:00,0.00
"Everest Realty Management, LLC","(final) Everest Kensington, DST (private or exempt) (IC)",158:17:12,00:00:00,0.00
"Everest Realty Management, LLC",(final) Everest Realty Management LLC ODD 2016,71:53:42,09:46:15,0.00
"ExchangeRight Real Estate, LLC",(final) ExchangeRight Net Leased Portfolio 15 DST (private or exempt) (IC),42:38:06,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) ExchangeRight Real Estate ODD 2017,10:50:29,00:00:00,0.00
GK Development,(final) GK Hy-Vee DST (private or exempt),04:16:45,00:00:00,0.00
Greenbacker Capital Management,(final) Greenbacker Renewable Energy Follow On (fund) (public) (non-traded),63:00:48,00:00:00,0.00
Griffin Capital Corp.,(final) Griffin Institutional Access Credit Fund (interval fund),151:20:25,00:00:00,0.00
"Hamilton Point Investments, LLC",(final) Hamilton Point Investments ODD 2016,00:34:11,00:00:00,0.00
Holmwood Capital,(final) HC Government Realty Trust Inc.  (Reg A) (private or exempt) (IC),00:14:36,00:00:00,0.00
HempTech Corp.,(Final) HempTech Corp. (Essential) (private or exempt) (IC),82:00:59,00:00:00,0.00
Medalist,"(final) Hourly - Medalist Diversified REIT, Inc. (Reg A) (private or exempt)",02:55:58,00:00:00,0.00
"ASMX Capital, LLC",(final) Hourly - Teraphysics Corporation Update (reg a) (private or exempt),17:07:11,00:00:00,0.00
"Kodiak Capital Advisors, LLC",(final) Kodiak Capital Advisors LLC ODD 2017,121:51:27,00:00:00,0.00
Megatel Homes Inc.,(final) MCI Preferred Equity Fund Update (fund) (private or exempt) (hourly),17:41:50,00:00:00,0.00
EcoVest,"(final) Monterrey Cove Holdings, LLC (Conservation Easement) (private or exempt)",48:37:29,00:00:00,0.00
Nelson Brothers,(final) NB Molly Barr DST (private or exempt) (IC),05:14:57,00:00:00,0.00
Preferred Apartment Communities,(final) PAC - mShares Combined report (IC),45:21:36,00:00:00,0.00
Preferred Apartment Communities,(final) PAC - Pref A Shares Combined report (IC),16:25:44,01:19:34,0.00
"Resource Royalty, LLC","(final) Resource Royalty Income & Growth Fund V, LP (private or exempt) (O&G)",115:42:21,00:00:00,0.00
"Renewable Energy Ventures, LLC",(final) REV Perpetual Power LLC (energy) (private or exempt),64:12:27,00:00:00,0.00
Rance King Properties Inc.,(final) RK Properties Opportunity Fund IV supplement (Parkway Vista) (other RE fund) (private or exempt),26:22:44,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC","(final) Rodin Global Property Trust, Inc. (public) (nontraded) (IC) ",13:56:38,00:00:00,0.00
"Shopoff Realty Investments, LP","(final) Shopoff Realty Investments, LP ODD 2016",111:36:05,00:00:00,0.00
"Medley, LLC",(final) Sierra Total Return Fund (interval fund) (public) (non-traded),113:30:33,00:00:00,0.00
AR Capital or RCS,(final) Special Project - AR Global Proxy,00:28:19,00:00:00,0.00
Steadfast Companies,(final) Steadfast Alcentral Global Credit Fund (public) (nontraded) (IC),15:23:06,00:00:00,0.00
"StockShield, LLC",(final) Stock Protection Fund,213:18:14,00:00:00,0.00
U.S. Energy Development Corporation,"(final) Strategic Energy Income Fund V, LP (private or exempt) (O&G) (IC)",02:26:00,00:00:00,0.00
Terra Capital Partners,(final) Terra Income Fund 6 Update (BDC) (public) (non-traded),130:12:14,00:00:00,0.00
"UDF Holdings, LLC",(final) United Development Funding Income Fund V (REIT),00:36:46,00:00:00,0.00
U.S. Energy Development Corporation,(final) USEDC 2017 A and B Drilling Fund (Oil & Gas) (private or exempt),06:22:23,00:00:00,0.00
"Behringer Harvard Holdings, LLC",(final) Vertical Capital Income Fund (interval fund) (public) (non-traded),02:03:05,00:00:00,0.00
