Project,Hours,Project type,Resources,Private/public
"(final) Beacon Clearpath, LLC ODD 2016",147.0236111111111,ODD,NA,NA
(final) Campbell & Company ODD 2016,95.48,ODD,NA,NA
(final) Cantor Fitzgerald ODD 2016,92.64916666666667,ODD,NA,NA
(final) CapRocq Core REIT (reg a) (private or exempt),41.073888888888895,Reg A+ ASMX/FA,Internal,Private
"(final) Carter Validus REIT Management Company II, LLC ODD 2016",59.01694444444445,ODD,NA,NA
(final) CF Net Lease Portfolio DST 7 (private or exempt) (IC),45.321111111111115,DST,External,Private
(final) CF Net Lease Portfolio DST 8 (private or exempt) (IC),15.544444444444444,DST,External,Private
(final) CNL Financial Group ODD 2016,173.6552777777778,ODD,NA,NA
"(final) CNL Healthcare Properties II, Inc. (REIT) (non-traded) (public)",110.63361111111111,Non-traded REIT,Internal,Public
(final) Cole Capital Advisors ODD 2016,74.24722222222222,ODD,NA,NA
(final) Crystal Lake Florida Apartments DST (private or exempt),102.29472222222222,DST,Internal,Private
"(final) Everest Kensington, DST (private or exempt) (IC)",168.61027777777778,DST,External,Private
(final) Everest Realty Management LLC ODD 2016,158.96222222222224,ODD,NA,NA
(final) ExchangeRight Net Leased Portfolio 15 DST (private or exempt) (IC),42.635,DST,External,Private
(final) ExchangeRight Real Estate ODD 2017,61.385555555555555,ODD,NA,NA
(final) GK Hy-Vee DST (private or exempt),91.7025,DST,Internal,Private
(final) Greenbacker Renewable Energy Follow On (fund) (public) (non-traded),63.013333333333335,Non-traded Fund,Internal,Public
(final) Griffin Institutional Access Credit Fund (interval fund),155.40083333333337,Interval Fund,Internal,NA
(final) Hamilton Point Investments ODD 2016,64.65222222222222,ODD,NA,NA
(final) HC Government Realty Trust Inc.  (Reg A) (private or exempt) (IC),13.754166666666668,Reg A+ nonASMX/FA,External,Private
(Final) HempTech Corp. (Essential) (private or exempt) (IC),82.01638888888888,Essential,External,Private
"(final) Hourly - Medalist Diversified REIT, Inc. (Reg A) (private or exempt)",8.538611111111111,Reg A+ nonASMX/FA,Internal,Private
(final) Hourly - Teraphysics Corporation Update (reg a) (private or exempt),17.119722222222222,Reg A+ ASMX/FA,Internal,Private
(final) Kodiak Capital Advisors LLC ODD 2017,122.93583333333332,ODD,NA,NA
(final) MCI Preferred Equity Fund Update (fund) (private or exempt) (hourly),17.697222222222223,Fund,Internal,Private
"(final) Monterrey Cove Holdings, LLC (Conservation Easement) (private or exempt)",48.624722222222225,Conservation Easement,Internal,Private
(final) NB Molly Barr DST (private or exempt) (IC),16.815833333333334,DST,External,Private
(final) PAC - mShares Combined report (IC),110.68694444444444,Combined,NA,NA
(final) PAC - Pref A Shares Combined report (IC),17.962222222222223,Combined,NA,NA
"(final) Resource Royalty Income & Growth Fund V, LP (private or exempt) (O&G)",115.70583333333333,O&G,Internal,Private
(final) REV Perpetual Power LLC (energy) (private or exempt),64.2075,Energy,Internal,Private
(final) RK Properties Opportunity Fund IV supplement (Parkway Vista) (other RE fund) (private or exempt),26.483888888888888,Fund,Internal,Private
"(final) Rodin Global Property Trust, Inc. (public) (nontraded) (IC) ",40.91361111111111,,External,Public
"(final) Shopoff Realty Investments, LP ODD 2016",115.4286111111111,ODD,NA,NA
(final) Sierra Total Return Fund (interval fund) (public) (non-traded),114.59916666666668,Non-traded Interval Fund,Internal,Public
(final) Special Project - AR Global Proxy,24.67083333333333,,Internal,NA
(final) Steadfast Alcentral Global Credit Fund (public) (nontraded) (IC),15.91,Non-traded Fund,External,Public
(final) Stock Protection Fund,213.3038888888889,Fund,Internal,NA
"(final) Strategic Energy Income Fund V, LP (private or exempt) (O&G) (IC)",19.634166666666665,O&G,External,Private
(final) Terra Income Fund 6 Update (BDC) (public) (non-traded),130.20388888888888,Non-traded BDC,Internal,Public
(final) United Development Funding Income Fund V (REIT),56.86027777777778,Fund,Internal,NA
(final) USEDC 2017 A and B Drilling Fund (Oil & Gas) (private or exempt),6.373055555555555,Oil & Gas,Internal,Private
(final) Vertical Capital Income Fund (interval fund) (public) (non-traded),144.80888888888887,Non-traded Interval Fund,Internal,Public
